city,population_2000,population_2017,pop_growth_%,median_income_2000,median_income_2017,income_growth_%,median_house_2000,median_house_2017,median_house_growth_%,crime_index_2005,crime_index_2018,crime_increase_%,poverty_rate_%
Flint-Michigan,124932,96448,-22.8,28015,26901,-3.98,49100,27400,-44.2,1000.1,670.5,-11.54,38.9
Detroit-Michigan,950711,673104,-29.2,29526,30344,2.77,62800,50200,-20.06,1042.3,838.2,-8.41,34.5
Youngstown-Ohio,81984,64604,-21.2,24201,28843,19.18,40700,41400,1.72,752.9,440,3.46,34.9
Gary-Indiana,102713,76008,-26,27195,26669,-1.93,51900,66900,28.9,626.8,436.7,0.82,36.3
Reading-Pennsylvania,81196,88423,8.9,26698,31160,16.71,45000,70000,55.56,724.7,358.7,4.86,30.7
Trenton-New-Jersey,85390,84964,-0.5,31074,31882,2.6,66200,98100,48.19,760.3,499.7,26.11,30.4
Dayton-Ohio,166119,140371,-15.5,27423,30643,11.74,66700,63900,-4.2,734.2,571.7,-4.88,30.7
Cleveland-Ohio,478318,385525,-19.4,25928,28974,11.75,71100,70200,-1.27,830.7,691.8,-3.84,33.1
Rochester-New-York,219689,208046,-5.3,27123,33588,23.84,62100,82400,32.69,647.8,406.9,-8.99,32.3
Muncie-Indiana,67411,68625,1.8,26613,30555,14.81,57100,72100,26.27,370.6,290.4,-5.02,30.7
Lansing-Michigan,119130,116986,-1.8,34833,39957,14.71,73000,85700,17.4,538.6,483.9,7.48,26.3
Hammond-Indiana,83009,76618,-7.7,35528,45999,29.47,78500,89200,13.63,558.6,329.1,13.26,19.3
Kansas-City-Kansas,146914,152938,4.1,33011,45118,36.68,51900,103800,100,687.5,553.9,-0.22,18.6
Canton-Ohio,80761,70909,-12.2,28730,30046,4.58,66400,74200,11.75,655.4,630.2,-11.56,30.1
South-Bend-Indiana,107739,102245,-5.1,32439,42007,29.5,66200,87600,32.33,560.1,509.2,-8.3,20.1
Buffalo-New-York,292547,258612,-11.6,24536,34814,41.89,58800,92700,57.65,726.5,514.7,0.11,29.6
Memphis-Tennessee,650285,652236,0.3,32285,39333,21.83,72300,98700,36.51,962.8,854.5,-3.58,24.6
Jackson-Mississippi,184288,166965,-9.4,30414,39004,28.24,64200,93400,45.48,620.9,555.7,-17.49,23.8
Akron-Ohio,217174,197846,-8.9,31835,36816,15.65,76800,81600,6.25,524.3,479.4,-0.32,22.5
Birmingham-Alabama,242753,210710,-13.2,26735,33553,25.5,62200,87800,41.16,916.8,875.8,2.71,25.4
Toledo-Ohio,313481,276491,-11.8,32546,37339,14.73,73700,78400,6.38,761.9,452.9,4.48,24.5
Largo-Florida,69356,84754,22.2,32217,43363,34.6,63400,129500,104.26,307.8,276,-8.85,10.5
Tamarac-Florida,55604,65669,18.1,34290,41737,21.72,85900,170300,98.25,185.5,187.6,0.71,10.6
Syracuse-New-York,147375,143396,-2.7,25000,35568,42.27,67900,90100,32.7,559.7,383.1,3.09,32.4
Sunrise-Florida,85748,94323,10,40998,61887,50.95,94100,200500,113.07,280.5,172.5,-8.06,9.3
Rockford-Illinois,150052,147051,-2,37667,44765,18.84,79400,88800,11.84,642.3,567,-6.01,19.6
Deerfield-Beach-Florida,64560,80571,24.8,34041,46238,35.83,76300,165100,116.38,418.8,270.7,15.37,17.9
Baytown-Texas,66439,76804,15.6,40559,56042,38.17,63500,126600,99.37,362.6,312.5,-9.87,21.6
Mesquite-Texas,124523,143949,15.6,50424,54775,8.63,85400,142000,66.28,317.3,308.3,5.38,11
Warren-Michigan,138200,135022,-2.3,44626,46347,3.86,115400,124700,8.06,354.3,276,-11.07,18.8
Deltona-Florida,69537,90746,30.5,39736,53171,33.81,82000,148500,81.1,,,,15.2
Evansville-Indiana,121605,118930,-2.2,31963,36690,14.79,69300,92700,33.77,384,401.7,4.23,24.5
Decatur-Illinois,81829,72174,-11.8,33111,43225,30.55,60600,80100,32.18,562.2,305.8,4.91,17.8
Lorain-Ohio,68646,63841,-7,33917,32379,-4.53,85700,85800,0.12,321.5,325.3,1.93,27.2
Brownsville-Texas,139709,183299,31.2,24468,36176,47.85,49400,93300,88.87,377.8,205.6,4.19,28.1
Beaumont-Texas,113875,119114,4.6,32559,48043,47.56,62000,105000,69.35,660,499,10.7,20.3
Wichita-Falls-Texas,104225,104747,0.5,32554,42959,31.96,60900,101900,67.32,571.1,290.8,29.03,18.5
Warner-Robins-Georgia,48796,74854,53.4,38401,51435,33.94,73900,100100,35.45,388.9,459.9,-2.19,19.2
Abilene-Texas,115970,121885,5.1,33007,49365,49.56,60000,114900,91.5,397,305.1,10.74,16.8
Erie-Pennsylvania,103694,97369,-6.1,28387,37721,32.88,64700,88000,36.01,295.9,210.9,-8.08,26.9
Kokomo-Indiana,46121,57836,25.4,36258,41143,13.47,72800,82423,13.22,487.4,314.4,3.35,20.3
St.-Clair-Shores-Michigan,63105,59635,-5.5,49047,56840,15.89,122500,151195,23.42,191.2,114.7,-4.69,9.1
Pittsburgh-Pennsylvania,334521,302407,-9.6,28588,45851,60.39,60700,123600,103.62,552.9,340.2,-1.62,20.2
Racine-Wisconsin,81881,77542,-5.3,37164,43169,16.16,83400,106700,27.94,466,288.9,-0.58,17
Independence-Missouri,113339,117306,3.5,38012,49855,31.16,76000,112700,48.29,548,416.4,2.87,15
Pasadena-Texas,141623,153520,8.4,38522,50210,30.34,67600,122900,81.8,291.5,258.1,1.46,18.6
Boynton-Beach-Florida,60374,77702,28.7,39845,51372,28.93,86200,200200,132.25,434.3,336.4,-13.86,17.5
Topeka-Kansas,122424,126587,3.4,35928,48847,35.96,65700,97300,48.1,550.3,455.1,6.52,13.7
Westland-Michigan,86596,81747,-5.6,46308,47943,3.53,115100,121000,5.13,277.3,221.7,-11.55,12.1
Spring-Hill-Florida,69085,113508,64.3,32861,46710,42.14,83500,146000,74.85,,,,14.6
Allentown-Pennsylvania,106669,121283,13.7,32016,39687,23.96,77000,123700,60.65,542.5,235.7,-9.75,27
Dearborn-Michigan,97816,94491,-3.4,44560,46662,4.72,129300,144900,12.06,439.2,195.9,7.57,32.4
Cheektowaga-New-York,79947,73232,-8.4,37928,53502,41.06,81500,113800,39.63,224.5,196.5,1.95,11.5
Waukegan-Illinois,87904,87729,-0.2,42335,48029,13.45,118700,138800,16.93,224.7,231.6,2.93,14.4
Palm-Bay-Florida,79414,111657,40.6,36508,46301,26.82,76200,153200,101.05,335.3,213.5,-6.6,12.8
Killeen-Texas,86906,145482,67.4,34461,45404,31.75,72500,128300,76.97,559.7,258,7.41,15.5
Scranton-Pennsylvania,76382,77605,1.6,28805,35904,24.65,78400,108100,37.88,337.4,349,12.28,22.4
Corpus-Christi-Texas,277346,325605,17.4,36414,53605,47.21,70500,141300,100.43,540.4,410.6,5.77,14.5
Kalamazoo-Michigan,77118,75807,-1.7,31189,42271,35.53,80700,100500,24.54,544.4,647.3,-15.54,25.2
Waterbury-Connecticut,107234,108629,1.3,34285,42969,25.33,97800,134000,37.01,404.9,357.2,-0.15,21.7
Parma-Ohio,85678,79167,-7.6,43920,54588,24.29,113500,116400,2.56,176.1,122.5,15.17,8.5
Southfield-Michigan,78297,73208,-6.5,51802,58813,13.53,151200,157400,4.1,555,200.1,-4.92,7
Port-St.-Lucie-Florida,88768,189344,113.3,40509,57045,40.82,87700,205000,133.75,172.5,77.9,-19.17,6.7
Garland-Texas,215776,238002,10.3,49156,57483,16.94,86200,161700,87.59,276.6,236.1,7.29,15.2
Lakeland-Florida,78470,108054,37.7,33119,46466,40.3,71500,150800,110.91,411.8,259.6,-14.21,16.4
Lafayette-Indiana,56378,72390,28.4,35859,45315,26.37,89300,105300,17.92,409.3,311.5,-4.26,18.8
Town-n-Country-Florida,72532,89143,22.9,42415,52339,23.4,85400,176600,106.79,,,,13.8
Lawton-Oklahoma,92786,93714,1,32521,47591,46.34,69700,120500,72.88,470.8,454.3,-16.54,16.9
Montgomery-Alabama,201533,199518,-1,35627,42419,19.06,84600,119500,41.25,592,401.5,11.91,23.4
Lehigh-Acres-Florida,33430,132618,296.7,38517,47242,22.65,78600,157600,100.51,,,,17.8
Wyoming-Michigan,69349,75938,9.5,43164,56774,31.53,91700,127500,39.04,271.1,265.5,-15.39,14.5
Fayetteville-North-Carolina,121043,209889,73.4,36287,42629,17.48,87200,132400,51.83,672.4,418.3,-14.69,19.4
Milwaukee-Wisconsin,597142,595351,-0.3,32216,39098,21.36,79600,122300,53.64,600.5,571.2,-16.56,25
Albany-Georgia,76949,73179,-4.9,28639,33434,16.74,69200,97400,40.75,545.1,549.6,-4.55,29.3
Waco-Texas,113696,136436,20,26264,39063,48.73,53200,117100,120.11,596.6,371.9,12.02,24.3
Lubbock-Texas,199597,253888,27.2,31844,45764,43.71,67900,138000,103.24,559.2,509.5,3.31,20
Odessa-Texas,90942,116861,28.5,31209,58919,88.79,46500,157800,239.35,335.3,380.7,0.15,12
San-Antonio-Texas,1144546,1511946,32.1,36214,50044,38.19,67500,148200,119.56,496.3,395.1,3.46,17.3
Grand-Prairie-Texas,127440,193837,52.1,46816,67099,43.32,82000,164000,100,379,186.2,2.46,9.8
Gulfport-Mississippi,71110,71822,1,32779,35758,9.09,77900,124600,59.95,441.8,390.5,-15.09,24.4
Brandon-Florida,77885,121190,55.6,51639,54909,6.33,100200,183400,83.03,,,,11.7
San-Angelo-Texas,88444,100119,13.2,32232,46100,43.03,61000,134600,120.66,420.5,291.6,10.95,13.4
St.-Joseph-Missouri,74000,76442,3.3,32663,43585,33.44,68800,108700,57.99,370.9,418.7,10.32,16.5
Mobile-Alabama,198814,190265,-4.3,31445,40316,28.21,80400,124800,55.22,453.9,453.1,-6.16,20.8
Sioux-City-Iowa,84978,82514,-2.9,37429,53332,42.49,73100,115700,58.28,354.6,348.3,6.1,14.8
Port-Orange-Florida,45832,63203,37.9,38783,51647,33.17,87100,181861,108.8,124.6,111.3,-20.94,14.7
Riverview-Florida,12034,90538,652.3,51016,73948,44.95,118200,222400,88.16,,,,5.3
Grand-Rapids-Michigan,197839,198829,0.5,37224,48521,30.35,91100,144200,58.29,508.4,285.6,-5.48,15.8
Aurora-Illinois,143035,200965,40.5,54861,70367,28.26,132400,177700,34.21,311.3,134.8,-1.83,10.5
Laredo-Texas,176594,260654,47.6,29108,44494,52.86,70400,136400,93.75,430.6,219.3,-3.86,27.2
Baltimore-Maryland,651382,611648,-6.1,30078,47131,56.7,69900,154400,120.89,783.1,816.7,1.12,22.2
Bridgeport-Connecticut,139466,146579,5.1,34658,45048,29.98,107700,177600,64.9,582.9,303.8,-2.39,20.4
Edinburg-Texas,48459,90280,86.3,28938,55392,91.42,57100,115200,101.75,586.6,283.2,42.14,22.2
Fort-Wayne-Indiana,205648,265904,29.3,36518,46599,27.61,73100,117900,61.29,363.6,268.5,4.12,15.8
Yuma-Arizona,77517,95502,23.2,35374,50195,41.9,78100,143400,83.61,414.6,254.5,1.62,16.8
Amarillo-Texas,173610,199826,15.1,34940,51263,46.72,71600,131400,83.52,547.2,455.3,4.01,13.7
Bryan-Texas,65641,84021,28,31672,43283,36.66,71600,129600,81.01,570.2,244.2,12.64,21.8
Irving-Texas,191685,240373,25.4,44956,62837,39.77,92600,187700,102.7,370.4,186.7,2.97,11.6
Fort-Worth-Texas,534659,874168,63.5,37074,60205,62.39,69700,169400,143.04,507.8,299.1,5.73,12.9
El-Paso-Texas,563542,683577,21.3,32124,44754,39.32,69900,127700,82.69,286.7,190.8,0.21,19.3
The-Villages-Florida,8332,79620,855.5,42542,59863,40.72,135700,278500,105.23,,,,5.1
Waterloo-Iowa,68755,67587,-1.7,34092,42346,24.21,63800,125200,96.24,396.1,297.1,2.94,18
Owensboro-Kentucky,54052,59404,9.9,31867,41089,28.94,76000,119286,56.96,271.8,327.4,-5.46,20
Columbus-Ohio,711302,879170,23.6,37897,51708,36.44,99100,151400,52.77,686.1,375.4,2.91,19.8
Des-Moines-Iowa,198649,217521,9.5,38408,51355,33.71,79900,134300,68.09,525.8,426.8,3.48,14.6
Philadelphia-Pennsylvania,1517142,1580863,4.2,30746,39759,29.31,61000,166200,172.46,667,446.6,-5.13,25.7
Jackson-Tennessee,59631,66847,12.1,33194,41956,26.4,80500,138400,71.93,762.2,470.8,7.67,22.2
Jacksonville-Florida,735417,892062,21.3,40316,51497,27.73,84100,177000,110.46,506.8,353.9,-1.07,15.1
Waldorf-Maryland,22310,69519,211.6,68869,92029,33.63,154800,280800,81.4,,,,4
Clarksville-Tennessee,103446,153205,48.1,37548,55021,46.54,83500,153800,84.19,397.5,325.8,-6.56,14.2
North-Little-Rock-Arkansas,60413,65911,9.1,35578,40579,14.06,75100,137600,83.22,838,387.6,-8.3,19.1
Tonawanda-New-York,16129,14904,-7.6,37523,48111,28.22,73100,107606,47.2,176.9,153.7,-17.34,13.4
Daytona-Beach-Florida,64081,68055,6.2,25439,33228,30.62,74700,147700,97.72,861.7,494.4,6.69,28.2
Springfield-Missouri,151608,167376,10.4,29563,36421,23.2,78700,121100,53.88,563.9,767.2,-5.59,22.3
Knoxville-Tennessee,173952,187347,7.7,27492,38714,40.82,77800,133900,72.11,594.5,465.9,1.05,23.8
Arlington-Texas,333104,396394,19,47622,57083,19.87,94800,167800,77,467.6,272.7,-0.4,15.7
Temple-Texas,54501,74503,36.7,35135,52416,49.18,74400,139000,86.83,310.5,279.2,-4.99,14.9
Pompano-Beach-Florida,78183,110473,41.3,36073,49419,37,94700,197400,108.45,687.5,433.3,17.42,18.4
Rock-Hill-South-Carolina,49773,73068,46.8,37336,52663,41.05,90100,159300,76.8,536.1,329.6,0.53,13.6
Broken-Arrow-Oklahoma,74846,108303,44.7,53507,68811,28.6,98500,168200,70.76,174.7,161.5,14.78,7.2
Melbourne-Florida,71375,82011,14.9,34571,43979,27.21,80300,162100,101.87,454.7,380.1,-15.1,12.8
Peoria-Illinois,112883,112883,0,36397,48146,32.28,84000,131100,56.07,648.8,440.9,11.61,19.5
McAllen-Texas,106410,142696,34.1,33641,44108,31.11,69800,131000,87.68,411,147.5,22.14,21.4
Springfield-Illinois,111414,114868,3.1,39388,51313,30.28,84300,124400,47.57,694.7,479.7,-6.69,23
St.-Louis-Missouri,348336,308626,-11.4,27156,41441,52.6,63500,141400,122.68,1281.6,878.9,-5.44,20.3
New-Britain-Connecticut,71564,72710,1.6,34185,43574,27.47,97600,157900,61.78,378.7,267.4,0.37,21.3
Houston-Texas,1953308,2312717,18.4,36616,50896,39,77500,173600,124,659.6,497.7,0.06,20.6
Wichita-Kansas,344133,390591,13.5,39939,50504,26.45,75000,135100,80.13,526.7,605.1,-6.31,16.6
Lewisville-Texas,77728,106021,36.4,54771,65578,19.73,111900,222200,98.57,268,203.9,9.16,9.8
Palm-Coast-Florida,32734,86516,164.3,41570,49578,19.26,110500,215300,94.84,,,,14.3
North-Charleston-South-Carolina,79641,110861,39.2,29307,39265,33.98,64500,179600,178.45,921.1,572.8,-2.99,23.1
Kettering-Ohio,57473,55175,-4,45051,53576,18.92,110500,137542,24.47,238.5,116.1,19.79,12.6
Hemet-California,58812,85160,44.8,26839,39801,48.3,69900,194900,178.83,438.5,327.2,-6.2,20.2
Kansas-City-Missouri,441682,488943,10.7,37198,51330,37.99,83300,152900,83.55,839.1,679.4,5.07,15.5
Tulsa-Oklahoma,393150,401800,2.2,35316,45894,29.95,81900,139700,70.57,711.3,608.5,5.21,19.5
Pearland-Texas,37634,119940,218.7,64156,105806,64.92,114100,251400,120.33,208.3,101.2,1.96,2.7
Kenosha-Wisconsin,90386,99877,10.5,41902,52848,26.12,105800,145500,37.52,243.5,181,-12.54,15.6
Gainesville-Florida,95417,132249,38.6,28164,34226,21.52,83700,156900,87.46,473.6,428.9,-13.88,30.3
Midland-Texas,94967,136089,43.3,39320,75886,93,71400,204100,185.85,318.5,188.8,4.98,9.1
Elgin-Illinois,94500,112456,19,52605,67646,28.59,138500,189000,36.46,395.2,145.1,42.77,8.5
Roanoke-Virginia,94902,99837,5.2,30719,43799,42.58,80100,136300,70.16,604.7,352.6,7.03,19.4
New-Haven-Connecticut,123598,131014,6,29604,44445,50.13,104300,194200,86.19,769.9,427.6,3.13,23.6
North-Richland-Hills-Texas,55640,70441,26.6,56150,67307,19.87,98900,199600,101.82,246.1,137,-9.02,7.3
Rio-Rancho-New-Mexico,51754,96159,85.8,47169,57349,21.58,111900,187900,67.92,200.5,141.4,-9.4,15.6
Oshkosh-Wisconsin,62891,66665,6,37636,49972,32.78,85500,128500,50.29,205.1,120.3,-13.57,15
Janesville-Wisconsin,59481,64359,8.2,45961,54483,18.54,98900,139106,40.65,323.7,225.9,2.4,13.3
Victorville-California,64038,122441,91.2,36187,50997,40.93,95600,221500,131.69,444.1,322.1,3.28,18.1
Longview-Texas,73311,81522,11.2,33858,46081,36.1,74300,145100,95.29,638.6,296.1,9.01,18.3
Portsmouth-Virginia,100608,94572,-6,33742,50242,48.9,81000,175200,116.3,531.5,504.2,5.19,18
Pueblo-Colorado,102138,111127,8.8,29650,36124,21.83,85800,139500,62.59,508.4,626,7.8,22.3
Davenport-Iowa,98384,102320,4,37242,50081,34.47,78900,130900,65.91,688.8,497.9,34.37,14.6
Omaha-Nebraska,390052,466893,19.7,40006,56406,40.99,93300,157100,68.38,446.1,359.1,-0.13,13
Bethlehem-Pennsylvania,71354,75707,6.1,35815,53504,49.39,97100,169700,74.77,262.9,168,81.56,17.9
Hampton-Virginia,146379,134669,-8,39532,54062,36.76,90000,184100,104.56,310.1,231.8,5.98,15.9
Sunrise-Manor-Nevada,156067,193055,23.7,41066,44412,8.15,104100,168400,61.77,,,,18.7
Hartford-Connecticut,121576,123400,1.5,24820,33677,35.68,95300,168000,76.29,741.1,481.6,-0.08,31.4
Gastonia-North-Carolina,66256,76593,15.6,36924,46688,26.44,92100,149600,62.43,716.2,438.4,5.06,16.2
Joliet-Illinois,106195,148462,39.8,47761,65725,37.61,116600,179700,54.12,265.7,176.1,-5.61,9
Nampa-Idaho,51879,93590,80.4,34758,42302,21.7,89900,171100,90.32,283.3,243.3,1.47,22
St.-Petersburg-Florida,248119,263255,6.1,34597,55134,59.36,78200,198400,153.71,727.3,339.8,0.68,13.9
Dallas-Texas,1188896,1341075,12.8,37628,50627,34.55,87400,190600,118.08,753.9,417.5,3.76,18.5
Meriden-Connecticut,58238,59927,2.9,43237,59110,36.71,114700,172392,50.3,288.3,202,-2.4,10.8
High-Point-North-Carolina,85845,111513,29.9,40137,49860,24.22,101800,144600,42.04,521.2,338.7,0.5,14.1
Avondale-Arizona,35877,84025,134.2,49153,55468,12.85,122500,207300,69.22,447.9,256,19.82,13.5
Champaign-Illinois,67515,87432,29.5,32795,43785,33.51,89500,173400,93.74,493,312.6,12.25,27.2
Livonia-Michigan,100539,94105,-6.4,63018,82410,30.77,160400,190000,18.45,171.8,117.5,0.23,5.6
Bossier-City-Louisiana,56469,68554,21.4,36561,46911,28.31,77700,159900,105.79,723.6,430.5,-0.75,24.3
Wilmington-Delaware,72631,71106,-2.1,35116,35963,2.41,89300,176800,97.98,640.1,675.4,-23.22,30.7
New-Braunfels-Texas,36492,79152,116.9,40078,58814,46.75,89200,219100,145.63,273,166.5,-3.33,12
Conroe-Texas,36814,84378,129.2,34123,60931,78.56,71800,196800,174.09,511.3,211.8,28.95,10.7
Surprise-Arizona,30845,134085,334.7,44156,65898,49.24,122400,231900,89.46,191.5,117.8,1.54,6.7
Tyler-Texas,83658,104991,25.5,34163,51956,52.08,80100,153400,91.51,444.5,272,15.88,19.6
Sterling-Heights-Michigan,124419,132631,6.6,60494,64668,6.9,157800,187800,19.01,160.7,106.1,-10.37,9.3
West-Allis-Wisconsin,61282,59934,-2.2,39394,48491,23.09,99600,146032,46.62,323.8,246.1,1.25,13.4
Schaumburg-Illinois,75390,74184,-1.6,60941,80227,31.65,161500,285700,76.9,235.6,118.9,-2.04,7.4
Pembroke-Pines-Florida,137449,170712,24.2,52629,72056,36.91,122700,300600,144.99,211.3,137.2,-3.87,8.3
Casas-Adobes-Arizona,54008,73668,36.4,49736,65029,30.75,131000,201200,53.59,,,,8.7
League-City-Texas,45451,104903,130.8,67838,98593,45.34,109200,253400,132.05,158.6,123.5,-9.37,7.6
Tucson-Arizona,486536,535677,10.1,30981,41613,34.32,91200,150400,64.91,598.9,477.6,3.87,22.1
